tag,stem.tag,sp,quadrat,status.initial,status.2016,dbh
71516,71516,tsugca,718,A,O,4.4
71517,71517,betule,718,A,O,10.2
71518,71518,acerru,718,A,O,15.4
71519,71519,tsugca,718,A,A,1.5
71520,71520,acerru,718,A,O,22.4
71521,71521,tsugca,718,A,A,12.6
71522,71522,acerru,718,A,O,9.9
71523,71523,tsugca,718,A,A,11.2
71524,71524,tsugca,718,A,A,8.9
71525,71525,betupa,718,A,O,21.8
71526,71526,tsugca,718,A,A,18.1
71527,71527,tsugca,718,A,A,20.5
71528,71528,betule,718,A,O,9.1
71529,71529,tsugca,718,A,A,12.3
71530,71530,tsugca,718,A,A,2.2
71531,71531,betule,718,A,O,11.1
71532,71532,tsugca,718,A,A,7.9
71533,71533,tsugca,718,A,D,1.5
71534,71534,betule,718,A,O,12.7
